movieId,title,clean_title,year,genres,item_idx
42,Dead Presidents (1995),Dead Presidents,1995.0,Action|Crime|Drama,41
43,Restoration (1995),Restoration,1995.0,Drama,42
44,Mortal Kombat (1995),Mortal Kombat,1995.0,Action|Adventure|Fantasy,43
45,To Die For (1995),To Die For,1995.0,Comedy|Drama|Thriller,44
46,How to Make an American Quilt (1995),How to Make an American Quilt,1995.0,Drama|Romance,45
47,Seven (a.k.a. Se7en) (1995),Seven (a.k.a. Se7en),1995.0,Mystery|Thriller,46
48,Pocahontas (1995),Pocahontas,1995.0,Animation|Children|Drama|Musical|Romance,47
49,When Night Is Falling (1995),When Night Is Falling,1995.0,Drama|Romance,48
50,"Usual Suspects, The (1995)","Usual Suspects, The",1995.0,Crime|Mystery|Thriller,49
51,Guardian Angel (1994),Guardian Angel,1994.0,Action|Drama|Thriller,50
52,Mighty Aphrodite (1995),Mighty Aphrodite,1995.0,Comedy|Drama|Romance,51
53,Lamerica (1994),Lamerica,1994.0,Adventure|Drama,52
54,"Big Green, The (1995)","Big Green, The",1995.0,Children|Comedy,53
55,Georgia (1995),Georgia,1995.0,Drama,54
56,Kids of the Round Table (1995),Kids of the Round Table,1995.0,Adventure|Children|Comedy|Fantasy,55
57,Home for the Holidays (1995),Home for the Holidays,1995.0,Drama,56
58,"Postman, The (Postino, Il) (1994)","Postman, The (Postino, Il)",1994.0,Comedy|Drama|Romance,57
59,"Confessional, The (Confessionnal, Le) (1995)","Confessional, The (Confessionnal, Le)",1995.0,Drama|Mystery,58
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The",1995.0,Adventure|Children|Fantasy,59
61,Eye for an Eye (1996),Eye for an Eye,1996.0,Drama|Thriller,60
62,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995.0,Drama,61
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996.0,Comedy|Crime,62
64,Two if by Sea (1996),Two if by Sea,1996.0,Comedy|Romance,63
65,Bio-Dome (1996),Bio-Dome,1996.0,Comedy,64
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,1996.0,Action|Sci-Fi|Thriller,65
67,Two Bits (1995),Two Bits,1995.0,Drama,66
68,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),1995.0,Comedy|Romance,67
69,Friday (1995),Friday,1995.0,Comedy,68
70,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996.0,Action|Comedy|Horror|Thriller,69
71,Fair Game (1995),Fair Game,1995.0,Action,70
72,Kicking and Screaming (1995),Kicking and Screaming,1995.0,Comedy|Drama,71
73,"Misérables, Les (1995)","Misérables, Les",1995.0,Drama|War,72
74,Bed of Roses (1996),Bed of Roses,1996.0,Drama|Romance,73
75,Big Bully (1996),Big Bully,1996.0,Comedy|Drama,74
76,Screamers (1995),Screamers,1995.0,Action|Sci-Fi|Thriller,75
77,Nico Icon (1995),Nico Icon,1995.0,Documentary,76
78,"Crossing Guard, The (1995)","Crossing Guard, The",1995.0,Action|Crime|Drama|Thriller,77
79,"Juror, The (1996)","Juror, The",1996.0,Drama|Thriller,78
80,"White Balloon, The (Badkonake sefid) (1995)","White Balloon, The (Badkonake sefid)",1995.0,Children|Drama,79
81,Things to Do in Denver When You're Dead (1995),Things to Do in Denver When You're Dead,1995.0,Crime|Drama|Romance,80
82,Antonia's Line (Antonia) (1995),Antonia's Line (Antonia),1995.0,Comedy|Drama,81
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,1995.0,Drama|Romance,82
84,Last Summer in the Hamptons (1995),Last Summer in the Hamptons,1995.0,Comedy|Drama,83
85,Angels and Insects (1995),Angels and Insects,1995.0,Drama|Romance,84
86,White Squall (1996),White Squall,1996.0,Action|Adventure|Drama,85
87,Dunston Checks In (1996),Dunston Checks In,1996.0,Children|Comedy,86
88,Black Sheep (1996),Black Sheep,1996.0,Comedy,87
89,Nick of Time (1995),Nick of Time,1995.0,Action|Thriller,88
90,The Journey of August King (1995),The Journey of August King,1995.0,Drama,89
92,Mary Reilly (1996),Mary Reilly,1996.0,Drama|Horror|Thriller,90
93,Vampire in Brooklyn (1995),Vampire in Brooklyn,1995.0,Comedy|Horror|Romance,91
94,Beautiful Girls (1996),Beautiful Girls,1996.0,Comedy|Drama|Romance,92
95,Broken Arrow (1996),Broken Arrow,1996.0,Action|Adventure|Thriller,93
96,In the Bleak Midwinter (1995),In the Bleak Midwinter,1995.0,Comedy|Drama,94
97,"Hate (Haine, La) (1995)","Hate (Haine, La)",1995.0,Crime|Drama,95
98,Shopping (1994),Shopping,1994.0,Action|Thriller,96
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam,1995.0,Documentary,97
100,City Hall (1996),City Hall,1996.0,Drama|Thriller,98
101,Bottle Rocket (1996),Bottle Rocket,1996.0,Adventure|Comedy|Crime|Romance,99
102,Mr. Wrong (1996),Mr. Wrong,1996.0,Comedy,100
103,Unforgettable (1996),Unforgettable,1996.0,Mystery|Sci-Fi|Thriller,101
104,Happy Gilmore (1996),Happy Gilmore,1996.0,Comedy,102
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",1995.0,Drama|Romance,103
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich),1994.0,Comedy|Drama,104
107,Muppet Treasure Island (1996),Muppet Treasure Island,1996.0,Adventure|Children|Comedy|Musical,105
108,Catwalk (1996),Catwalk,1996.0,Documentary,106
110,Braveheart (1995),Braveheart,1995.0,Action|Drama|War,107
111,Taxi Driver (1976),Taxi Driver,1976.0,Crime|Drama|Thriller,108
112,Rumble in the Bronx (Hont faan kui) (1995),Rumble in the Bronx (Hont faan kui),1995.0,Action|Adventure|Comedy|Crime,109
113,Before and After (1996),Before and After,1996.0,Drama|Mystery,110
114,Margaret's Museum (1995),Margaret's Museum,1995.0,Drama,111
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)","Happiness Is in the Field (Bonheur est dans le pré, Le)",1995.0,Comedy,112
116,Anne Frank Remembered (1995),Anne Frank Remembered,1995.0,Documentary,113
117,"Young Poisoner's Handbook, The (1995)","Young Poisoner's Handbook, The",1995.0,Crime|Drama,114
118,If Lucy Fell (1996),If Lucy Fell,1996.0,Comedy|Romance,115
119,"Steal Big, Steal Little (1995)","Steal Big, Steal Little",1995.0,Comedy,116
120,Race the Sun (1996),Race the Sun,1996.0,Adventure|Comedy|Drama,117
121,"Boys of St. Vincent, The (1992)","Boys of St. Vincent, The",1992.0,Drama,118
122,Boomerang (1992),Boomerang,1992.0,Comedy|Romance,119
123,Chungking Express (Chung Hing sam lam) (1994),Chungking Express (Chung Hing sam lam),1994.0,Drama|Mystery|Romance,120
124,"Star Maker, The (Uomo delle stelle, L') (1995)","Star Maker, The (Uomo delle stelle, L')",1995.0,Drama,121
125,Flirting With Disaster (1996),Flirting With Disaster,1996.0,Comedy,122
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The",1994.0,Adventure|Children|Fantasy,123
127,"Silences of the Palace, The (Saimt el Qusur) (1994)","Silences of the Palace, The (Saimt el Qusur)",1994.0,Drama,124
128,Jupiter's Wife (1994),Jupiter's Wife,1994.0,Documentary,125
129,Pie in the Sky (1996),Pie in the Sky,1996.0,Comedy|Romance,126
130,Angela (1995),Angela,1995.0,Drama,127
131,Frankie Starlight (1995),Frankie Starlight,1995.0,Drama|Romance,128
132,Jade (1995),Jade,1995.0,Thriller,129
133,Nueba Yol (1995),Nueba Yol,1995.0,Comedy|Drama,130
134,Sonic Outlaws (1995),Sonic Outlaws,1995.0,Documentary,131
135,Down Periscope (1996),Down Periscope,1996.0,Comedy,132
136,From the Journals of Jean Seberg (1995),From the Journals of Jean Seberg,1995.0,Documentary,133
137,Man of the Year (1995),Man of the Year,1995.0,Documentary,134
138,"Neon Bible, The (1995)","Neon Bible, The",1995.0,Drama,135
139,Target (1995),Target,1995.0,Action|Drama,136
140,Up Close and Personal (1996),Up Close and Personal,1996.0,Drama|Romance,137
141,"Birdcage, The (1996)","Birdcage, The",1996.0,Comedy,138
142,Shadows (Cienie) (1988),Shadows (Cienie),1988.0,Drama,139
144,"Brothers McMullen, The (1995)","Brothers McMullen, The",1995.0,Comedy,140
145,Bad Boys (1995),Bad Boys,1995.0,Action|Comedy|Crime|Drama|Thriller,141
146,"Amazing Panda Adventure, The (1995)","Amazing Panda Adventure, The",1995.0,Adventure|Children,142
147,"Basketball Diaries, The (1995)","Basketball Diaries, The",1995.0,Drama,143
148,"Awfully Big Adventure, An (1995)","Awfully Big Adventure, An",1995.0,Drama,144
149,Amateur (1994),Amateur,1994.0,Crime|Drama|Thriller,145
150,Apollo 13 (1995),Apollo 13,1995.0,Adventure|Drama|IMAX,146
151,Rob Roy (1995),Rob Roy,1995.0,Action|Drama|Romance|War,147
152,"Addiction, The (1995)","Addiction, The",1995.0,Drama|Horror,148
153,Batman Forever (1995),Batman Forever,1995.0,Action|Adventure|Comedy|Crime,149
154,Beauty of the Day (Belle de jour) (1967),Beauty of the Day (Belle de jour),1967.0,Drama,150
155,Beyond Rangoon (1995),Beyond Rangoon,1995.0,Adventure|Drama|War,151
156,Blue in the Face (1995),Blue in the Face,1995.0,Comedy|Drama,152
157,Canadian Bacon (1995),Canadian Bacon,1995.0,Comedy|War,153
158,Casper (1995),Casper,1995.0,Adventure|Children,154
159,Clockers (1995),Clockers,1995.0,Crime|Drama|Mystery,155
160,Congo (1995),Congo,1995.0,Action|Adventure|Mystery|Sci-Fi,156
161,Crimson Tide (1995),Crimson Tide,1995.0,Drama|Thriller|War,157
162,Crumb (1994),Crumb,1994.0,Documentary,158
163,Desperado (1995),Desperado,1995.0,Action|Romance|Western,159
164,Devil in a Blue Dress (1995),Devil in a Blue Dress,1995.0,Crime|Film-Noir|Mystery|Thriller,160
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance,1995.0,Action|Crime|Thriller,161
166,"Doom Generation, The (1995)","Doom Generation, The",1995.0,Comedy|Crime|Drama,162
167,Feast of July (1995),Feast of July,1995.0,Drama,163
168,First Knight (1995),First Knight,1995.0,Action|Drama|Romance,164
169,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995.0,Adventure|Children|Drama,165
170,Hackers (1995),Hackers,1995.0,Action|Adventure|Crime|Thriller,166
171,Jeffrey (1995),Jeffrey,1995.0,Comedy|Drama,167
172,Johnny Mnemonic (1995),Johnny Mnemonic,1995.0,Action|Sci-Fi|Thriller,168
173,Judge Dredd (1995),Judge Dredd,1995.0,Action|Crime|Sci-Fi,169
174,Jury Duty (1995),Jury Duty,1995.0,Comedy,170
175,Kids (1995),Kids,1995.0,Drama,171
176,Living in Oblivion (1995),Living in Oblivion,1995.0,Comedy,172
177,Lord of Illusions (1995),Lord of Illusions,1995.0,Horror,173
178,Love & Human Remains (1993),Love & Human Remains,1993.0,Comedy|Drama,174
179,Mad Love (1995),Mad Love,1995.0,Drama|Romance,175
180,Mallrats (1995),Mallrats,1995.0,Comedy|Romance,176
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,1995.0,Action|Children,177
182,Moonlight and Valentino (1995),Moonlight and Valentino,1995.0,Drama|Romance,178
183,Mute Witness (1994),Mute Witness,1994.0,Comedy|Horror|Thriller,179
184,Nadja (1994),Nadja,1994.0,Drama,180
185,"Net, The (1995)","Net, The",1995.0,Action|Crime|Thriller,181
186,Nine Months (1995),Nine Months,1995.0,Comedy|Romance,182
187,Party Girl (1995),Party Girl,1995.0,Comedy,183
188,"Prophecy, The (1995)","Prophecy, The",1995.0,Fantasy|Horror|Mystery,184
189,Reckless (1995),Reckless,1995.0,Comedy|Fantasy,185
190,Safe (1995),Safe,1995.0,Thriller,186
191,"Scarlet Letter, The (1995)","Scarlet Letter, The",1995.0,Drama|Romance,187
192,The Show (1995),The Show,1995.0,Documentary,188
193,Showgirls (1995),Showgirls,1995.0,Drama,189
194,Smoke (1995),Smoke,1995.0,Comedy|Drama,190
195,Something to Talk About (1995),Something to Talk About,1995.0,Comedy|Drama|Romance,191
196,Species (1995),Species,1995.0,Horror|Sci-Fi,192
197,"Stars Fell on Henrietta, The (1995)","Stars Fell on Henrietta, The",1995.0,Drama,193
198,Strange Days (1995),Strange Days,1995.0,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,194
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964.0,Drama|Musical|Romance,195
200,"Tie That Binds, The (1995)","Tie That Binds, The",1995.0,Thriller,196
201,Three Wishes (1995),Three Wishes,1995.0,Drama|Fantasy,197
202,Total Eclipse (1995),Total Eclipse,1995.0,Drama|Romance,198
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",1995.0,Comedy,199
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory,1995.0,Action,200
205,Unstrung Heroes (1995),Unstrung Heroes,1995.0,Comedy|Drama,201
206,Unzipped (1995),Unzipped,1995.0,Documentary,202
207,"Walk in the Clouds, A (1995)","Walk in the Clouds, A",1995.0,Drama|Romance,203
208,Waterworld (1995),Waterworld,1995.0,Action|Adventure|Sci-Fi,204
209,White Man's Burden (1995),White Man's Burden,1995.0,Drama,205
210,Wild Bill (1995),Wild Bill,1995.0,Western,206
211,"Browning Version, The (1994)","Browning Version, The",1994.0,Drama,207
212,Bushwhacked (1995),Bushwhacked,1995.0,Adventure|Comedy|Crime|Mystery,208
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Burnt by the Sun (Utomlyonnye solntsem),1994.0,Drama,209
214,Before the Rain (Pred dozhdot) (1994),Before the Rain (Pred dozhdot),1994.0,Drama|War,210
215,Before Sunrise (1995),Before Sunrise,1995.0,Drama|Romance,211
216,Billy Madison (1995),Billy Madison,1995.0,Comedy,212
217,"Babysitter, The (1995)","Babysitter, The",1995.0,Drama|Thriller,213
218,Boys on the Side (1995),Boys on the Side,1995.0,Comedy|Drama,214
219,"Cure, The (1995)","Cure, The",1995.0,Drama,215
220,Castle Freak (1995),Castle Freak,1995.0,Horror,216
222,Circle of Friends (1995),Circle of Friends,1995.0,Drama|Romance,217
223,Clerks (1994),Clerks,1994.0,Comedy,218
224,Don Juan DeMarco (1995),Don Juan DeMarco,1995.0,Comedy|Drama|Romance,219
225,Disclosure (1994),Disclosure,1994.0,Drama|Thriller,220
226,Dream Man (1995),Dream Man,1995.0,Thriller,221
227,Drop Zone (1994),Drop Zone,1994.0,Action|Thriller,222
228,Destiny Turns on the Radio (1995),Destiny Turns on the Radio,1995.0,Comedy,223
229,Death and the Maiden (1994),Death and the Maiden,1994.0,Drama|Thriller,224
230,Dolores Claiborne (1995),Dolores Claiborne,1995.0,Drama|Thriller,225
231,Dumb & Dumber (Dumb and Dumber) (1994),Dumb & Dumber (Dumb and Dumber),1994.0,Adventure|Comedy,226
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Eat Drink Man Woman (Yin shi nan nu),1994.0,Comedy|Drama|Romance,227
233,Exotica (1994),Exotica,1994.0,Drama,228
234,Exit to Eden (1994),Exit to Eden,1994.0,Comedy,229
235,Ed Wood (1994),Ed Wood,1994.0,Comedy|Drama,230
236,French Kiss (1995),French Kiss,1995.0,Action|Comedy|Romance,231
237,Forget Paris (1995),Forget Paris,1995.0,Comedy|Romance,232
238,Far From Home: The Adventures of Yellow Dog (1995),Far From Home: The Adventures of Yellow Dog,1995.0,Adventure|Children,233
239,"Goofy Movie, A (1995)","Goofy Movie, A",1995.0,Animation|Children|Comedy|Romance,234
240,Hideaway (1995),Hideaway,1995.0,Thriller,235
241,Fluke (1995),Fluke,1995.0,Children|Drama,236
242,Farinelli: il castrato (1994),Farinelli: il castrato,1994.0,Drama|Musical,237
243,Gordy (1995),Gordy,1995.0,Children|Comedy|Fantasy,238
244,Gumby: The Movie (1995),Gumby: The Movie,1995.0,Animation|Children,239
245,The Glass Shield (1994),The Glass Shield,1994.0,Crime|Drama,240
246,Hoop Dreams (1994),Hoop Dreams,1994.0,Documentary,241
247,Heavenly Creatures (1994),Heavenly Creatures,1994.0,Crime|Drama,242
248,Houseguest (1994),Houseguest,1994.0,Comedy,243
249,Immortal Beloved (1994),Immortal Beloved,1994.0,Drama|Romance,244
250,Heavyweights (Heavy Weights) (1995),Heavyweights (Heavy Weights),1995.0,Children|Comedy,245
251,"Hunted, The (1995)","Hunted, The",1995.0,Action,246
252,I.Q. (1994),I.Q.,1994.0,Comedy|Romance,247
253,Interview with the Vampire: The Vampire Chronicles (1994),Interview with the Vampire: The Vampire Chronicles,1994.0,Drama|Horror,248
254,Jefferson in Paris (1995),Jefferson in Paris,1995.0,Drama,249
255,"Jerky Boys, The (1995)","Jerky Boys, The",1995.0,Comedy,250
256,Junior (1994),Junior,1994.0,Comedy|Sci-Fi,251
257,Just Cause (1995),Just Cause,1995.0,Mystery|Thriller,252
258,"Kid in King Arthur's Court, A (1995)","Kid in King Arthur's Court, A",1995.0,Adventure|Children|Comedy|Fantasy|Romance,253
259,Kiss of Death (1995),Kiss of Death,1995.0,Crime|Drama|Thriller,254
260,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope,1977.0,Action|Adventure|Sci-Fi,255
261,Little Women (1994),Little Women,1994.0,Drama,256
262,"Little Princess, A (1995)","Little Princess, A",1995.0,Children|Drama,257
263,Ladybird Ladybird (1994),Ladybird Ladybird,1994.0,Drama,258
264,"Enfer, L' (1994)","Enfer, L'",1994.0,Drama,259
265,Like Water for Chocolate (Como agua para chocolate) (1992),Like Water for Chocolate (Como agua para chocolate),1992.0,Drama|Fantasy|Romance,260
266,Legends of the Fall (1994),Legends of the Fall,1994.0,Drama|Romance|War|Western,261
267,Major Payne (1995),Major Payne,1995.0,Comedy,262
268,Little Odessa (1994),Little Odessa,1994.0,Crime|Drama,263
269,My Crazy Life (Mi vida loca) (1993),My Crazy Life (Mi vida loca),1993.0,Drama,264
270,Love Affair (1994),Love Affair,1994.0,Drama|Romance,265
271,Losing Isaiah (1995),Losing Isaiah,1995.0,Drama,266
272,"Madness of King George, The (1994)","Madness of King George, The",1994.0,Comedy|Drama,267
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Mary Shelley's Frankenstein (Frankenstein),1994.0,Drama|Horror|Sci-Fi,268
274,Man of the House (1995),Man of the House,1995.0,Comedy,269
275,Mixed Nuts (1994),Mixed Nuts,1994.0,Comedy,270
276,Milk Money (1994),Milk Money,1994.0,Comedy|Romance,271
277,Miracle on 34th Street (1994),Miracle on 34th Street,1994.0,Drama,272
278,Miami Rhapsody (1995),Miami Rhapsody,1995.0,Comedy,273
279,My Family (1995),My Family,1995.0,Drama,274
280,Murder in the First (1995),Murder in the First,1995.0,Drama|Thriller,275
281,Nobody's Fool (1994),Nobody's Fool,1994.0,Comedy|Drama|Romance,276
282,Nell (1994),Nell,1994.0,Drama,277
283,New Jersey Drive (1995),New Jersey Drive,1995.0,Crime|Drama,278
284,New York Cop (Nyû Yôku no koppu) (1993),New York Cop (Nyû Yôku no koppu),1993.0,Action|Crime,279
285,Beyond Bedlam (1993),Beyond Bedlam,1993.0,Drama|Horror,280
286,Nemesis 2: Nebula (1995),Nemesis 2: Nebula,1995.0,Action|Sci-Fi|Thriller,281
287,Nina Takes a Lover (1994),Nina Takes a Lover,1994.0,Comedy|Romance,282
288,Natural Born Killers (1994),Natural Born Killers,1994.0,Action|Crime|Thriller,283
289,Only You (1994),Only You,1994.0,Comedy|Romance,284
290,Once Were Warriors (1994),Once Were Warriors,1994.0,Crime|Drama,285
292,Outbreak (1995),Outbreak,1995.0,Action|Drama|Sci-Fi|Thriller,286
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Léon: The Professional (a.k.a. The Professional) (Léon),1994.0,Action|Crime|Drama|Thriller,287
294,"Perez Family, The (1995)","Perez Family, The",1995.0,Comedy|Romance,288
295,"Pyromaniac's Love Story, A (1995)","Pyromaniac's Love Story, A",1995.0,Comedy|Romance,289
296,Pulp Fiction (1994),Pulp Fiction,1994.0,Comedy|Crime|Drama|Thriller,290
297,Panther (1995),Panther,1995.0,Drama,291
298,Pushing Hands (Tui shou) (1992),Pushing Hands (Tui shou),1992.0,Drama,292
299,Priest (1994),Priest,1994.0,Drama,293
300,Quiz Show (1994),Quiz Show,1994.0,Drama,294
301,Picture Bride (Bijo photo) (1994),Picture Bride (Bijo photo),1994.0,Drama|Romance,295
302,"Queen Margot (Reine Margot, La) (1994)","Queen Margot (Reine Margot, La)",1994.0,Drama|Romance,296
303,"Quick and the Dead, The (1995)","Quick and the Dead, The",1995.0,Action|Thriller|Western,297
304,Roommates (1995),Roommates,1995.0,Comedy|Drama,298
305,Ready to Wear (Pret-A-Porter) (1994),Ready to Wear (Pret-A-Porter),1994.0,Comedy,299
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Three Colors: Red (Trois couleurs: Rouge),1994.0,Drama,300
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Three Colors: Blue (Trois couleurs: Bleu),1993.0,Drama,301
308,Three Colors: White (Trzy kolory: Bialy) (1994),Three Colors: White (Trzy kolory: Bialy),1994.0,Comedy|Drama,302
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)","Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",1994.0,Drama,303
310,Rent-a-Kid (1995),Rent-a-Kid,1995.0,Comedy,304
311,Relative Fear (1994),Relative Fear,1994.0,Horror|Thriller,305
312,Stuart Saves His Family (1995),Stuart Saves His Family,1995.0,Comedy,306
313,"Swan Princess, The (1994)","Swan Princess, The",1994.0,Animation|Children,307
314,"Secret of Roan Inish, The (1994)","Secret of Roan Inish, The",1994.0,Children|Drama|Fantasy|Mystery,308
315,"Specialist, The (1994)","Specialist, The",1994.0,Action|Drama|Thriller,309
316,Stargate (1994),Stargate,1994.0,Action|Adventure|Sci-Fi,310
317,"Santa Clause, The (1994)","Santa Clause, The",1994.0,Comedy|Drama|Fantasy,311
318,"Shawshank Redemption, The (1994)","Shawshank Redemption, The",1994.0,Crime|Drama,312
319,Shallow Grave (1994),Shallow Grave,1994.0,Comedy|Drama|Thriller,313
320,Suture (1993),Suture,1993.0,Film-Noir|Thriller,314
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Strawberry and Chocolate (Fresa y chocolate),1993.0,Drama,315
322,Swimming with Sharks (1995),Swimming with Sharks,1995.0,Comedy|Drama,316
324,"Sum of Us, The (1994)","Sum of Us, The",1994.0,Comedy|Drama,317
325,National Lampoon's Senior Trip (1995),National Lampoon's Senior Trip,1995.0,Comedy,318
326,To Live (Huozhe) (1994),To Live (Huozhe),1994.0,Drama,319
327,Tank Girl (1995),Tank Girl,1995.0,Action|Comedy|Sci-Fi,320
328,Tales from the Crypt Presents: Demon Knight (1995),Tales from the Crypt Presents: Demon Knight,1995.0,Horror|Thriller,321
329,Star Trek: Generations (1994),Star Trek: Generations,1994.0,Adventure|Drama|Sci-Fi,322
330,Tales from the Hood (1995),Tales from the Hood,1995.0,Action|Crime|Horror,323
331,Tom & Viv (1994),Tom & Viv,1994.0,Drama,324
332,Village of the Damned (1995),Village of the Damned,1995.0,Horror|Sci-Fi,325
333,Tommy Boy (1995),Tommy Boy,1995.0,Comedy,326
334,Vanya on 42nd Street (1994),Vanya on 42nd Street,1994.0,Drama,327
335,Underneath (1995),Underneath,1995.0,Mystery|Thriller,328
336,"Walking Dead, The (1995)","Walking Dead, The",1995.0,Drama|War,329
337,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape,1993.0,Drama,330
338,Virtuosity (1995),Virtuosity,1995.0,Action|Sci-Fi|Thriller,331
339,While You Were Sleeping (1995),While You Were Sleeping,1995.0,Comedy|Romance,332
340,"War, The (1994)","War, The",1994.0,Adventure|Drama|War,333
341,Double Happiness (1994),Double Happiness,1994.0,Drama,334
342,Muriel's Wedding (1994),Muriel's Wedding,1994.0,Comedy,335
343,"Baby-Sitters Club, The (1995)","Baby-Sitters Club, The",1995.0,Children,336
344,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,1994.0,Comedy,337
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Adventures of Priscilla, Queen of the Desert, The",1994.0,Comedy|Drama,338
